# EKI Receptor Observation Results
# Time interval: 15 minutes
# Capture radius: 0.025 degrees
# Receptor locations:
#   Receptor 1: (35.35, 126.5)
#   Receptor 2: (35.25, 126.6)
#   Receptor 3: (35.15, 126.7)
#
# Format: Time(min)	Receptor1_Dose(Sv)	Receptor2_Dose(Sv)	Receptor3_Dose(Sv)
0	2.177986e+13	0.000000e+00	0.000000e+00
15	4.143757e+14	0.000000e+00	0.000000e+00
30	4.039061e+14	7.194058e+13	0.000000e+00
45	4.037493e+14	1.165697e+14	6.374614e+13
60	4.000160e+14	8.333668e+13	1.037351e+14
75	3.968267e+14	5.797125e+13	7.705849e+13
90	3.875969e+14	9.245519e+13	4.846592e+13
105	3.548042e+14	6.790161e+13	5.582052e+13
120	3.750908e+14	6.250430e+13	2.904619e+13
135	3.707961e+14	6.278015e+13	2.822192e+13
150	3.488360e+14	4.620904e+13	1.720294e+13
165	3.649175e+14	4.574138e+13	1.114179e+13
180	3.363911e+14	4.965256e+13	5.978667e+12
195	3.760419e+14	5.180549e+13	1.171213e+13
210	4.593341e+14	4.947183e+13	6.696658e+12
225	5.232430e+14	8.527893e+13	1.543410e+13
240	6.283557e+14	1.310865e+14	2.792818e+13
255	7.653369e+14	1.943174e+14	4.692670e+13
270	8.981054e+14	2.891632e+14	6.362913e+13
285	1.055502e+15	3.723854e+14	1.064926e+14
300	1.236714e+15	4.966552e+14	1.722437e+14
315	1.532821e+15	7.012280e+14	2.380603e+14
330	1.867799e+15	9.068815e+14	3.728224e+14
345	2.238257e+15	1.186566e+15	5.831205e+14
